Barcode_i	Barcode_j	Condition1	Condition2	Z_Condition1	Z_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaZ_FDR
MPH1_donor_1	SHU2_recipient_1	NoDrug	MMS	-7.820480603905	0.101315040193895	AGGRAVATING	NEUTRAL	-7.92179564409889	4.62554591218948e-12
MPH1_donor_1	SHU2_recipient_2	NoDrug	MMS	-6.89442721493358	-1.90183142443972	AGGRAVATING	NEUTRAL	-4.99259579049385	2.47103708573643e-05
MPH1_donor_1	SRS2_recipient_2	NoDrug	MMS	-11.2550924141205	-2.80928317346814	AGGRAVATING	NEUTRAL	-8.44580924065236	1.39365013944001e-13
MPH1_donor_2	CLA4_recipient_1	NoDrug	MMS	0.516861410503201	-7.7210962474931	NEUTRAL	AGGRAVATING	8.2379576579963	4.47362658410307e-13
MPH1_donor_2	SHU1_recipient_1	NoDrug	MMS	0.185854100646031	4.34431934470458	NEUTRAL	ALLEVIATING	-4.15846524405855	0.000540934799638393
MPH1_donor_2	CSM2_recipient_2	NoDrug	MMS	-0.61792301002621	4.83386425920335	NEUTRAL	ALLEVIATING	-5.45178726922956	3.42292630289172e-06
MPH1_donor_2	SHU2_recipient_1	NoDrug	MMS	-5.00162955209358	2.16353216624282	AGGRAVATING	NEUTRAL	-7.1651617183364	4.93966919608281e-10
MPH1_donor_2	SHU2_recipient_2	NoDrug	MMS	-5.42747684065451	4.82334585053307	AGGRAVATING	ALLEVIATING	-10.2508226911876	1.45934133040749e-19
MPH1_donor_2	SLX4_recipient_1	NoDrug	MMS	-2.12615762041479	-15.1294869680884	NEUTRAL	AGGRAVATING	13.0033293476736	8.07449944003368e-31
MUS81_donor_1	MAG1_recipient_1	NoDrug	MMS	-0.0278878241288028	-5.05811615536906	NEUTRAL	AGGRAVATING	5.03022833124025	1.81703766500737e-05
MUS81_donor_1	MMS1_recipient_1	NoDrug	MMS	-3.21110458428371	-6.42470225392432	NEUTRAL	AGGRAVATING	3.21359766964061	0.00976429503375166
MUS81_donor_1	RAD18_recipient_1	NoDrug	MMS	-6.78172633146603	1.14160626051385	AGGRAVATING	NEUTRAL	-7.92333259197988	4.62026241982588e-12
MUS81_donor_1	RAD18_recipient_2	NoDrug	MMS	-14.9919919418449	3.97281283005159	AGGRAVATING	ALLEVIATING	-18.9648047718965	1.61660780311309e-64
MUS81_donor_1	RAD59_recipient_1	NoDrug	MMS	2.33631688541649	5.40347895016447	NEUTRAL	ALLEVIATING	-3.06716206474798	0.0125396864910936
MUS81_donor_1	RAD5_recipient_1	NoDrug	MMS	-12.9673606024019	6.85208487504403	AGGRAVATING	ALLEVIATING	-19.819445477446	2.41808827760557e-70
MUS81_donor_1	RAD5_recipient_2	NoDrug	MMS	-17.6171866822349	6.10811124797294	AGGRAVATING	ALLEVIATING	-23.7252979302079	2.59972060673404e-100
MUS81_donor_2	PSY3_recipient_1	NoDrug	MMS	1.98852135012887	4.56384674916288	NEUTRAL	ALLEVIATING	-2.57532539903401	0.0363795174722549
MUS81_donor_2	RAD18_recipient_1	NoDrug	MMS	-6.18839313822575	-1.09859189252639	AGGRAVATING	NEUTRAL	-5.08980124569936	1.65979395475483e-05
MUS81_donor_2	RAD18_recipient_2	NoDrug	MMS	-12.4011222694024	2.97508050442497	AGGRAVATING	NEUTRAL	-15.3762027738274	8.89978523129036e-43
MUS81_donor_2	RAD57_recipient_1	NoDrug	MMS	-0.745757890084271	4.21657381007038	NEUTRAL	ALLEVIATING	-4.96233170015465	2.77455823554394e-05
MUS81_donor_2	RAD59_recipient_1	NoDrug	MMS	2.30813258839584	5.84305386936039	NEUTRAL	ALLEVIATING	-3.53492128096455	0.00378708097593256
MUS81_donor_2	RAD5_recipient_1	NoDrug	MMS	-10.2704549482776	7.04596470325959	AGGRAVATING	ALLEVIATING	-17.3164196515372	5.7970346479643e-54
MUS81_donor_2	RAD5_recipient_2	NoDrug	MMS	-16.8000552012206	8.73322231374307	AGGRAVATING	ALLEVIATING	-25.5332775149637	8.0902094039259e-116
MUS81_donor_2	SHU2_recipient_1	NoDrug	MMS	2.42987289702212	6.25302615195182	NEUTRAL	ALLEVIATING	-3.82315325492969	0.00163063430413338
PSY3_donor_1	MAG1_recipient_1	NoDrug	MMS	0.751742891979253	-5.52908892148568	NEUTRAL	AGGRAVATING	6.28083181346494	5.12352529507644e-08
PSY3_donor_1	MPH1_recipient_1	NoDrug	MMS	1.46164624827584	4.5547298667934	NEUTRAL	ALLEVIATING	-3.09308361851755	0.0118908902758946
PSY3_donor_1	CLA4_recipient_1	NoDrug	MMS	1.65484222237751	-6.15601646769009	NEUTRAL	AGGRAVATING	7.8108586900676	7.5614259254636e-12
PSY3_donor_1	RTT107_recipient_1	NoDrug	MMS	-2.98297863697579	-6.67147535504961	NEUTRAL	AGGRAVATING	3.68849671807382	0.00240345294859477
PSY3_donor_1	SLX4_recipient_1	NoDrug	MMS	0.809564261908484	-6.81458417659997	NEUTRAL	AGGRAVATING	7.62414843850846	2.41458100174303e-11
PSY3_donor_2	MAG1_recipient_1	NoDrug	MMS	0.126597523913636	-8.96754525133198	NEUTRAL	AGGRAVATING	9.09414277524561	1.02278856233411e-15
PSY3_donor_2	CLA4_recipient_1	NoDrug	MMS	0.575044070359503	-7.22964369672507	NEUTRAL	AGGRAVATING	7.80468776708457	7.80761486370933e-12
PSY3_donor_2	RAD51_recipient_1	NoDrug	MMS	1.84741433176773	4.35244474174888	NEUTRAL	ALLEVIATING	-2.50503040998114	0.0422170289951318
PSY3_donor_2	RTT107_recipient_1	NoDrug	MMS	0.995420716215307	-13.1139522748537	NEUTRAL	AGGRAVATING	14.109372991069	4.54290705987301e-36
PSY3_donor_2	SLX4_recipient_1	NoDrug	MMS	0.17524968796798	-7.30920367081665	NEUTRAL	AGGRAVATING	7.48445335878463	5.603823429784e-11
RAD51_donor_1	MAG1_recipient_1	NoDrug	MMS	-3.0771329832278	-5.66335747435287	NEUTRAL	AGGRAVATING	2.58622449112507	0.0463146290732688
RAD51_donor_1	MMS4_recipient_1	NoDrug	MMS	1.10693796181922	4.52984587501877	NEUTRAL	ALLEVIATING	-3.42290791319956	0.00516178929133416
RAD51_donor_1	MPH1_recipient_1	NoDrug	MMS	-2.26341378114588	4.57697025503485	NEUTRAL	ALLEVIATING	-6.84038403618072	3.16427341881275e-09
RAD51_donor_1	CLA4_recipient_1	NoDrug	MMS	1.77351152105849	-9.45345604222771	NEUTRAL	AGGRAVATING	11.2269675632862	2.36339873422353e-23
RAD51_donor_1	PSY3_recipient_2	NoDrug	MMS	1.77795653676985	4.35411429937896	NEUTRAL	ALLEVIATING	-2.57615776260911	0.0364175978681537
RAD51_donor_1	RAD18_recipient_2	NoDrug	MMS	0.576344098870712	7.19591642583942	NEUTRAL	ALLEVIATING	-6.61957232696871	1.05400379260373e-08
RAD51_donor_1	RAD5_recipient_1	NoDrug	MMS	-11.8964068862557	5.34913219261573	AGGRAVATING	ALLEVIATING	-17.2455390788714	1.47763567371841e-53
RAD51_donor_1	RAD5_recipient_2	NoDrug	MMS	-20.1703164831939	7.5872100209885	AGGRAVATING	ALLEVIATING	-27.7575265041824	1.12178007762096e-136
RAD51_donor_1	RAD61_recipient_1	NoDrug	MMS	-4.33859933746019	-1.63500219110842	AGGRAVATING	NEUTRAL	-2.70359714635177	0.0283900078803551
RAD51_donor_1	RTT101_recipient_2	NoDrug	MMS	0.34386217739973	-4.77606222246006	NEUTRAL	AGGRAVATING	5.11992439985979	1.25426567690008e-05
